date,Skiing,Rafting,Cycling,Ice Skating,Surfing,Snowboarding
2006-07-30,547.7432346491006,1063.9180321942847,1626.678042036465,417.1282521574635,1123.597076195941,271.6438478303013
2006-08-06,497.2076006679881,980.0483591346124,1354.5266897419815,337.8765921473413,964.7432659326256,285.2833850516902
2006-08-13,510.90718791816784,797.1797796082631,1378.195287390111,326.72199624793024,888.5768724112821,299.32325942907306
2006-08-20,507.993949298588,732.7027027109036,1125.1837284151618,320.81941356316537,963.2426878805536,302.0829513811366
2006-08-27,530.5113354235917,558.8835857429534,1100.7623414561997,279.7740275329725,921.6192895128776,331.34465280425536
2006-09-03,587.5254438005361,466.32416432035456,1086.687682345146,365.6353221383392,938.7421587240364,371.9247262992486
2006-09-10,668.159370476378,345.4556342365311,1056.501002788112,302.2013892212486,899.2551196060873,469.0532364565244
2006-09-17,699.1693371132208,299.2775437390433,1049.9481004573438,371.4285579615809,882.9115089384328,459.68477189603766
2006-09-24,718.3751958716817,287.681791080909,958.1101674095931,386.9744417964668,864.6174316350632,521.4284372548161
2006-10-01,680.2769918241515,243.605879604332,964.6720206761132,400.2682703047676,752.894296180793,580.1749747005472
2006-10-08,825.5751670623812,195.52435821229489,994.2332860200532,386.9678352012253,804.41197745348,619.765811100039
2006-10-15,902.5292409142936,196.43859261126588,840.1081547954844,444.6675489087836,755.4168171257276,694.9999358686456
2006-10-22,933.2979243388172,143.44620811803009,802.8380103567908,545.5996681909854,744.3929427247463,687.7601753263795
2006-10-29,958.8072254430998,128.30728479357313,799.5787879163539,606.3699816667495,811.8800224830853,706.6428727539973
2006-11-05,1186.8125437768708,121.23410305161644,789.8432560910164,746.9739287329475,770.920646029324,814.1266502529579
2006-11-12,1270.1271131911487,120.29050770360638,819.193865073696,830.2188147037116,778.6445902761503,893.109674260156
2006-11-19,1449.499344469467,120.41366822997848,855.940709793149,1392.9753107380866,846.0257398708706,955.4607298783536
2006-11-26,1617.9091861706106,128.7479768609085,829.857651970921,1264.3261669100316,723.8174076658979,1070.8397530037505
2006-12-03,1708.4580893627383,129.65906950571895,874.0978721868905,1324.2548715962705,779.2617254159646,1219.1987592008977
2006-12-10,1746.2846117081522,125.22415684994444,810.1177814569851,1419.4286510648674,842.7213062041477,1175.6839684259853
2006-12-17,2051.871050666517,192.63827753834013,853.6143176609568,1724.986596927327,807.1766668137393,1207.6134717565758
2006-12-24,2568.751142137225,145.18449971200934,957.6376436630544,2937.2727052613445,783.7534822313088,1121.2993149172378
2006-12-31,2177.448237837669,219.21562439198047,917.73471621039,1850.0629422759089,803.1900576865855,872.1990213448458
2007-01-07,1991.3171875072217,234.54837994447047,914.8643973272796,1193.3419731267236,763.2591233715382,821.8304737976666
2007-01-14,1918.6386322152784,219.6502090850436,866.8229472719414,1326.1187070029778,732.028015223586,860.0399299402944
2007-01-21,1887.030502340971,225.7216004124041,756.5103528112155,1117.068886206965,739.4132451869124,985.2739828379796
2007-01-28,1869.490923818098,261.32215522271264,1006.5722202624372,1018.8486695553944,725.8821884146367,1004.320753655384
2007-02-04,1634.9822900132572,222.956725768868,956.0232685201656,823.4346948500455,778.6795629814825,818.0407858225503
2007-02-11,2038.969743417872,246.8702344264067,844.1846672817346,1015.3674794751184,731.009122679091,855.7212886923985
2007-02-18,1797.8514960854668,263.3569940112415,1079.0537247689774,1033.194111151854,763.2620435781075,793.2695110549034
2007-02-25,1447.6632678146584,261.02442557094133,1039.302762859649,629.6954579825912,719.7161454999856,737.748817169438
2007-03-04,1195.788469379253,303.4875584236581,1077.263393154003,602.123160394865,809.5980148305778,647.5364104096581
2007-03-11,968.9094655185792,382.1862494408487,1135.2282343616205,496.7985338786505,787.9016643624844,489.5904940821293
2007-03-18,769.3475237313754,379.807355136045,1123.676292231571,463.5603851344443,821.690131564273,434.099212212417
2007-03-25,661.7097024682922,435.86515963371096,1193.3187793884117,415.5679886463272,813.0432395907413,329.2834828797908
2007-04-01,524.4175945654978,405.63859218574265,1286.0422622197248,414.3147087652785,794.1107221117674,303.0052974995769
2007-04-08,423.16961351753736,434.3270197230292,1083.2971049030614,337.44131936606567,766.4098606735213,281.54778700298925
2007-04-15,335.7938566718242,466.75486152999247,1133.254286229675,317.40431660748806,754.6651271924133,255.6775078788685
2007-04-22,349.7590109680329,544.4053544764054,1179.4022885312313,286.6780793978393,805.1360126255937,242.50517230120525
2007-04-29,325.071620196099,565.2434550854226,1236.9151770801225,264.57898459304647,796.8665372370613,178.94340975807788
2007-05-06,329.3312798153371,641.0250670677833,1167.782153810727,234.1289670948768,908.6319514847132,213.62579760184568
2007-05-13,347.0465984122915,716.5282357497164,1259.6467202756614,231.20130091680585,995.3294033180066,209.1756427296996
2007-05-20,306.79661532246223,913.222543363115,1303.1410311571606,268.9674875199556,979.9225326211956,216.5811633787609
2007-05-27,315.1859626407903,958.1291282142862,1315.870360791242,282.6230534642364,942.5909380031266,217.8530132588417
2007-06-03,299.31658794226723,958.6435246759144,1385.0137094389156,262.51174170313504,1025.0526949530567,193.3363495980768
2007-06-10,339.0104056712901,980.7770631456314,1357.5903735354802,255.8569783420919,980.6021086417516,166.30192030364563
2007-06-17,339.56375153389433,1104.8611718720574,1274.7932054250457,331.5760531052923,1086.6307764525216,203.35982260053305
2007-06-24,290.5602546018516,1186.891445441846,1309.2112764614023,278.8333715746093,1061.200645988794,185.3335161649736
2007-07-01,384.6516807669801,1265.0503546362631,1424.3329941369382,316.0982963659261,993.811873880799,172.81496576018745
