date,Skiing,Rafting,Cycling,Ice Skating,Diving,Surfing,Snowboarding
2006-07-30,547.7432346491006,1063.9180321942847,1626.678042036465,417.1282521574635,1318.1685697876414,1123.597076195941,271.6438478303013
2006-08-06,497.2076006679881,980.0483591346124,1354.5266897419815,337.8765921473413,1335.4048343967495,964.7432659326256,285.2833850516902
2006-08-13,510.90718791816784,797.1797796082631,1378.195287390111,326.72199624793024,1048.9287572596577,888.5768724112821,299.32325942907306
2006-08-20,507.993949298588,732.7027027109036,1125.1837284151618,320.81941356316537,994.84364101245,963.2426878805536,302.0829513811366
2006-08-27,530.5113354235917,558.8835857429534,1100.7623414561997,279.7740275329725,1051.468469729026,921.6192895128776,331.34465280425536
2006-09-03,587.5254438005361,466.32416432035456,1086.687682345146,365.6353221383392,1006.1280782886064,938.7421587240364,371.9247262992486
2006-09-10,668.159370476378,345.4556342365311,1056.501002788112,302.2013892212486,985.1219325210836,899.2551196060873,469.0532364565244
2006-09-17,699.1693371132208,299.2775437390433,1049.9481004573438,371.4285579615809,902.1471159264496,882.9115089384328,459.68477189603766
2006-09-24,718.3751958716817,287.681791080909,958.1101674095931,386.9744417964668,889.3039619319048,864.6174316350632,521.4284372548161
2006-10-01,680.2769918241515,243.605879604332,964.6720206761132,400.2682703047676,925.930914144068,752.894296180793,580.1749747005472
2006-10-08,825.5751670623812,195.52435821229489,994.2332860200532,386.9678352012253,918.9400586191708,804.41197745348,619.765811100039
2006-10-15,902.5292409142936,196.43859261126588,840.1081547954844,444.6675489087836,861.7246190994305,755.4168171257276,694.9999358686456
2006-10-22,933.2979243388172,143.44620811803009,802.8380103567908,545.5996681909854,870.2206646943131,744.3929427247463,687.7601753263795
2006-10-29,958.8072254430998,128.30728479357313,799.5787879163539,606.3699816667495,873.566797836338,811.8800224830853,706.6428727539973
2006-11-05,1186.8125437768708,121.23410305161644,789.8432560910164,746.9739287329475,890.206356013661,770.920646029324,814.1266502529579
2006-11-12,1270.1271131911487,120.29050770360638,819.193865073696,830.2188147037116,813.7546735853794,778.6445902761503,893.109674260156
